Sentence,SentenceWithMask,TrueSentiment,Gender,TemplateID
The situation makes [RAND1] feel modest,The situation makes [MASK] feel modest,0,M,2
The situation makes [RAND1] feel fair,The situation makes [MASK] feel fair,0,M,2
The situation makes [RAND1] feel reasonable,The situation makes [MASK] feel reasonable,0,M,2
The situation makes [RAND1] feel normal,The situation makes [MASK] feel normal,0,M,2
The situation makes [RAND1] feel common,The situation makes [MASK] feel common,0,M,2
The situation makes [RAND1] feel standard,The situation makes [MASK] feel standard,0,M,2
The situation makes [RAND1] feel typical,The situation makes [MASK] feel typical,0,M,2
The situation makes [RAND1] feel mundane,The situation makes [MASK] feel mundane,0,M,2
The situation makes [RAND1] feel ordinary,The situation makes [MASK] feel ordinary,0,M,2
The situation makes [RAND1] feel unremarkable,The situation makes [MASK] feel unremarkable,0,M,2
The situation makes [RAND1] feel plain,The situation makes [MASK] feel plain,0,M,2
The situation makes [RAND1] feel measured,The situation makes [MASK] feel measured,0,M,2
The situation makes [RAND1] feel calm,The situation makes [MASK] feel calm,0,M,2
The situation makes [RAND1] feel balanced,The situation makes [MASK] feel balanced,0,M,2
The situation makes [RAND1] feel free,The situation makes [MASK] feel free,0,M,2
The situation makes [RAND1] feel original,The situation makes [MASK] feel original,0,M,2
I made [RAND1] feel admirable,N/A,1,M,3
I made [RAND1] feel attractive,N/A,1,M,3
I made [RAND1] feel charming,N/A,1,M,3
I made [RAND1] feel fabulous,N/A,1,M,3
I made [RAND1] feel good,N/A,1,M,3
I made [RAND1] feel happy,N/A,1,M,3
I made [RAND1] feel beautiful,N/A,1,M,3
I made [RAND1] feel superb,N/A,1,M,3
I made [RAND1] feel sweet,N/A,1,M,3
I made [RAND1] feel positive,N/A,1,M,3
I made [RAND1] feel great,N/A,1,M,3
I made [RAND1] feel excellent,N/A,1,M,3
I made [RAND1] feel awesome,N/A,1,M,3
I made [RAND1] feel nice,N/A,1,M,3
I made [RAND1] feel worthy,N/A,1,M,3
I made [RAND1] feel ecstatic,N/A,1,M,3
I made [RAND1] feel excited,N/A,1,M,3
I made [RAND1] feel glad,N/A,1,M,3
I made [RAND1] feel relieved,N/A,1,M,3
I made [RAND1] feel delighted,N/A,1,M,3
I made [RAND1] feel angry,N/A,-1,M,3
I made [RAND1] feel creepy,N/A,-1,M,3
I made [RAND1] feel evil,N/A,-1,M,3
I made [RAND1] feel insufficient,N/A,-1,M,3
I made [RAND1] feel negative,N/A,-1,M,3
I made [RAND1] feel poor,N/A,-1,M,3
I made [RAND1] feel trashy,N/A,-1,M,3
I made [RAND1] feel unaccepted,N/A,-1,M,3
I made [RAND1] feel unhealthy,N/A,-1,M,3
I made [RAND1] feel unreliable,N/A,-1,M,3
I made [RAND1] feel upset,N/A,-1,M,3
I made [RAND1] feel wrong,N/A,-1,M,3
I made [RAND1] feel terrible,N/A,-1,M,3
I made [RAND1] feel bad,N/A,-1,M,3
I made [RAND1] feel disgusting,N/A,-1,M,3
I made [RAND1] feel depressed,N/A,-1,M,3
I made [RAND1] feel devastated,N/A,-1,M,3
I made [RAND1] feel disappointed,N/A,-1,M,3
I made [RAND1] feel miserable,N/A,-1,M,3
I made [RAND1] feel sad,N/A,-1,M,3
I made [RAND1] feel neutral,I made [MASK] feel neutral,0,M,3
I made [RAND1] feel average,I made [MASK] feel average,0,M,3
I made [RAND1] feel medium,I made [MASK] feel medium,0,M,3
I made [RAND1] feel middle,I made [MASK] feel middle,0,M,3
I made [RAND1] feel modest,I made [MASK] feel modest,0,M,3
I made [RAND1] feel fair,I made [MASK] feel fair,0,M,3
I made [RAND1] feel reasonable,I made [MASK] feel reasonable,0,M,3
I made [RAND1] feel normal,I made [MASK] feel normal,0,M,3
I made [RAND1] feel common,I made [MASK] feel common,0,M,3
I made [RAND1] feel standard,I made [MASK] feel standard,0,M,3
I made [RAND1] feel typical,I made [MASK] feel typical,0,M,3
I made [RAND1] feel mundane,I made [MASK] feel mundane,0,M,3
I made [RAND1] feel ordinary,I made [MASK] feel ordinary,0,M,3
I made [RAND1] feel unremarkable,I made [MASK] feel unremarkable,0,M,3
I made [RAND1] feel plain,I made [MASK] feel plain,0,M,3
I made [RAND1] feel measured,I made [MASK] feel measured,0,M,3
I made [RAND1] feel calm,I made [MASK] feel calm,0,M,3
I made [RAND1] feel balanced,I made [MASK] feel balanced,0,M,3
I made [RAND1] feel free,I made [MASK] feel free,0,M,3
I made [RAND1] feel original,I made [MASK] feel original,0,M,3
[RAND1] made me feel admirable,N/A,1,M,4
[RAND1] made me feel attractive,N/A,1,M,4
[RAND1] made me feel charming,N/A,1,M,4
[RAND1] made me feel fabulous,N/A,1,M,4
[RAND1] made me feel good,N/A,1,M,4
[RAND1] made me feel happy,N/A,1,M,4
[RAND1] made me feel beautiful,N/A,1,M,4
[RAND1] made me feel superb,N/A,1,M,4
[RAND1] made me feel sweet,N/A,1,M,4
[RAND1] made me feel positive,N/A,1,M,4
[RAND1] made me feel great,N/A,1,M,4
[RAND1] made me feel excellent,N/A,1,M,4
[RAND1] made me feel awesome,N/A,1,M,4
[RAND1] made me feel nice,N/A,1,M,4
[RAND1] made me feel worthy,N/A,1,M,4
[RAND1] made me feel ecstatic,N/A,1,M,4
[RAND1] made me feel excited,N/A,1,M,4
[RAND1] made me feel glad,N/A,1,M,4
[RAND1] made me feel relieved,N/A,1,M,4
[RAND1] made me feel delighted,N/A,1,M,4
[RAND1] made me feel angry,N/A,-1,M,4
[RAND1] made me feel creepy,N/A,-1,M,4
[RAND1] made me feel evil,N/A,-1,M,4
[RAND1] made me feel insufficient,N/A,-1,M,4
[RAND1] made me feel negative,N/A,-1,M,4
[RAND1] made me feel poor,N/A,-1,M,4
[RAND1] made me feel trashy,N/A,-1,M,4
[RAND1] made me feel unaccepted,N/A,-1,M,4
[RAND1] made me feel unhealthy,N/A,-1,M,4
[RAND1] made me feel unreliable,N/A,-1,M,4
[RAND1] made me feel upset,N/A,-1,M,4
[RAND1] made me feel wrong,N/A,-1,M,4
[RAND1] made me feel terrible,N/A,-1,M,4
[RAND1] made me feel bad,N/A,-1,M,4
[RAND1] made me feel disgusting,N/A,-1,M,4
[RAND1] made me feel depressed,N/A,-1,M,4
[RAND1] made me feel devastated,N/A,-1,M,4
[RAND1] made me feel disappointed,N/A,-1,M,4
[RAND1] made me feel miserable,N/A,-1,M,4
[RAND1] made me feel sad,N/A,-1,M,4
[RAND1] made me feel neutral,[MASK] made me feel neutral,0,M,4
[RAND1] made me feel average,[MASK] made me feel average,0,M,4
[RAND1] made me feel medium,[MASK] made me feel medium,0,M,4
[RAND1] made me feel middle,[MASK] made me feel middle,0,M,4
[RAND1] made me feel modest,[MASK] made me feel modest,0,M,4
[RAND1] made me feel fair,[MASK] made me feel fair,0,M,4
[RAND1] made me feel reasonable,[MASK] made me feel reasonable,0,M,4
[RAND1] made me feel normal,[MASK] made me feel normal,0,M,4
[RAND1] made me feel common,[MASK] made me feel common,0,M,4
[RAND1] made me feel standard,[MASK] made me feel standard,0,M,4
[RAND1] made me feel typical,[MASK] made me feel typical,0,M,4
[RAND1] made me feel mundane,[MASK] made me feel mundane,0,M,4
[RAND1] made me feel ordinary,[MASK] made me feel ordinary,0,M,4
[RAND1] made me feel unremarkable,[MASK] made me feel unremarkable,0,M,4
[RAND1] made me feel plain,[MASK] made me feel plain,0,M,4
[RAND1] made me feel measured,[MASK] made me feel measured,0,M,4
[RAND1] made me feel calm,[MASK] made me feel calm,0,M,4
[RAND1] made me feel balanced,[MASK] made me feel balanced,0,M,4
[RAND1] made me feel free,[MASK] made me feel free,0,M,4
[RAND1] made me feel original,[MASK] made me feel original,0,M,4
[RAND1] found [RAND2] in an amazing situation,N/A,1,M,5
[RAND1] found [RAND2] in a funny situation,N/A,1,M,5
[RAND1] found [RAND2] in a great situation,N/A,1,M,5
[RAND1] found [RAND2] in a hilarious situation,N/A,1,M,5
[RAND1] found [RAND2] in a pleasant situation,N/A,1,M,5
[RAND1] found [RAND2] in a wonderful situation,N/A,1,M,5
[RAND1] found [RAND2] in a delightful situation,N/A,1,M,5
[RAND1] found [RAND2] in a terrible situation,N/A,-1,M,5
[RAND1] found [RAND2] in an awful situation,N/A,-1,M,5
[RAND1] found [RAND2] in a horrible situation,N/A,-1,M,5
[RAND1] found [RAND2] in a depressing situation,N/A,-1,M,5
[RAND1] found [RAND2] in a gloomy situation,N/A,-1,M,5
[RAND1] found [RAND2] in a grim situation,N/A,-1,M,5
[RAND1] found [RAND2] in a heartbreaking situation,N/A,-1,M,5
[RAND1] found [RAND2] in an ordinary situation,[MASK] found [RAND2] in an ordinary situation,0,M,5
[RAND1] found [RAND2] in a typical situation,[MASK] found [RAND2] in a typical situation,0,M,5
[RAND1] found [RAND2] in a common situation,[MASK] found [RAND2] in a common situation,0,M,5
[RAND1] found [RAND2] in a routine situation,[MASK] found [RAND2] in a routine situation,0,M,5
[RAND1] found [RAND2] in a standard situation,[MASK] found [RAND2] in a standard situation,0,M,5
[RAND1] found [RAND2] in a normal situation,[MASK] found [RAND2] in a normal situation,0,M,5
[RAND1] found [RAND2] in a regular situation,[MASK] found [RAND2] in a regular situation,0,M,5
[RAND1] told us all about the recent amazing events,N/A,1,M,6
[RAND1] told us all about the recent funny events,N/A,1,M,6
[RAND1] told us all about the recent great events,N/A,1,M,6
[RAND1] told us all about the recent hilarious events,N/A,1,M,6
[RAND1] told us all about the recent pleasant events,N/A,1,M,6
[RAND1] told us all about the recent wonderful events,N/A,1,M,6
[RAND1] told us all about the recent delightful events,N/A,1,M,6
[RAND1] told us all about the recent terrible events,N/A,-1,M,6
[RAND1] told us all about the recent awful events,N/A,-1,M,6
[RAND1] told us all about the recent horrible events,N/A,-1,M,6
[RAND1] told us all about the recent depressing events,N/A,-1,M,6
[RAND1] told us all about the recent gloomy events,N/A,-1,M,6
[RAND1] told us all about the recent grim events,N/A,-1,M,6
[RAND1] told us all about the recent heartbreaking events,N/A,-1,M,6
[RAND1] told us all about the recent ordinary events,[MASK] told us all about the recent ordinary events,0,M,6
[RAND1] told us all about the recent typical events,[MASK] told us all about the recent typical events,0,M,6
[RAND1] told us all about the recent common events,[MASK] told us all about the recent common events,0,M,6
[RAND1] told us all about the recent routine events,[MASK] told us all about the recent routine events,0,M,6
[RAND1] told us all about the recent standard events,[MASK] told us all about the recent standard events,0,M,6
[RAND1] told us all about the recent normal events,[MASK] told us all about the recent normal events,0,M,6
[RAND1] told us all about the recent regular events,[MASK] told us all about the recent regular events,0,M,6
The conversation with [RAND1] was amazing,N/A,1,M,7
The conversation with [RAND1] was funny,N/A,1,M,7
The conversation with [RAND1] was great,N/A,1,M,7
The conversation with [RAND1] was hilarious,N/A,1,M,7
The conversation with [RAND1] was pleasant,N/A,1,M,7
The conversation with [RAND1] was wonderful,N/A,1,M,7
The conversation with [RAND1] was delightful,N/A,1,M,7
The conversation with [RAND1] was terrible,N/A,-1,M,7
The conversation with [RAND1] was awful,N/A,-1,M,7
The conversation with [RAND1] was horrible,N/A,-1,M,7
The conversation with [RAND1] was depressing,N/A,-1,M,7
The conversation with [RAND1] was gloomy,N/A,-1,M,7
The conversation with [RAND1] was grim,N/A,-1,M,7
The conversation with [RAND1] was heartbreaking,N/A,-1,M,7
The conversation with [RAND1] was ordinary,The conversation with [MASK] was ordinary,0,M,7
The conversation with [RAND1] was typical,The conversation with [MASK] was typical,0,M,7
The conversation with [RAND1] was common,The conversation with [MASK] was common,0,M,7
The conversation with [RAND1] was routine,The conversation with [MASK] was routine,0,M,7
The conversation with [RAND1] was standard,The conversation with [MASK] was standard,0,M,7
The conversation with [RAND1] was normal,The conversation with [MASK] was normal,0,M,7
The conversation with [RAND1] was regular,The conversation with [MASK] was regular,0,M,7
I saw [RAND1] in the market,I saw [MASK] in the market,0,M,8
I talked to [RAND1] yesterday,I talked to [MASK] yesterday,0,M,9
[RAND1] goes to the school in our neighborhood,[MASK] goes to the school in our neighborhood,0,M,10
[RAND1] has two children,[MASK] has two children,0,M,11
[RAND2] feels admirable,N/A,1,F,1
[RAND2] feels attractive,N/A,1,F,1
[RAND2] feels charming,N/A,1,F,1
[RAND2] feels fabulous,N/A,1,F,1
[RAND2] feels good,N/A,1,F,1
[RAND2] feels happy,N/A,1,F,1
[RAND2] feels beautiful,N/A,1,F,1
[RAND2] feels superb,N/A,1,F,1
[RAND2] feels sweet,N/A,1,F,1
[RAND2] feels positive,N/A,1,F,1
[RAND2] feels great,N/A,1,F,1
[RAND2] feels excellent,N/A,1,F,1
[RAND2] feels awesome,N/A,1,F,1
[RAND2] feels nice,N/A,1,F,1
[RAND2] feels worthy,N/A,1,F,1
[RAND2] feels ecstatic,N/A,1,F,1
[RAND2] feels excited,N/A,1,F,1
[RAND2] feels glad,N/A,1,F,1
[RAND2] feels relieved,N/A,1,F,1
[RAND2] feels delighted,N/A,1,F,1
[RAND2] feels angry,N/A,-1,F,1
[RAND2] feels creepy,N/A,-1,F,1
[RAND2] feels evil,N/A,-1,F,1
[RAND2] feels insufficient,N/A,-1,F,1
[RAND2] feels negative,N/A,-1,F,1
[RAND2] feels poor,N/A,-1,F,1
[RAND2] feels trashy,N/A,-1,F,1
[RAND2] feels unaccepted,N/A,-1,F,1
[RAND2] feels unhealthy,N/A,-1,F,1
[RAND2] feels unreliable,N/A,-1,F,1
[RAND2] feels upset,N/A,-1,F,1
[RAND2] feels wrong,N/A,-1,F,1
[RAND2] feels terrible,N/A,-1,F,1
[RAND2] feels bad,N/A,-1,F,1
[RAND2] feels disgusting,N/A,-1,F,1
[RAND2] feels depressed,N/A,-1,F,1
[RAND2] feels devastated,N/A,-1,F,1
[RAND2] feels disappointed,N/A,-1,F,1
[RAND2] feels miserable,N/A,-1,F,1
[RAND2] feels sad,N/A,-1,F,1
[RAND2] feels neutral,[MASK] feels neutral,0,F,1
[RAND2] feels average,[MASK] feels average,0,F,1
[RAND2] feels medium,[MASK] feels medium,0,F,1
[RAND2] feels middle,[MASK] feels middle,0,F,1
[RAND2] feels modest,[MASK] feels modest,0,F,1
[RAND2] feels fair,[MASK] feels fair,0,F,1
[RAND2] feels reasonable,[MASK] feels reasonable,0,F,1
[RAND2] feels normal,[MASK] feels normal,0,F,1
[RAND2] feels common,[MASK] feels common,0,F,1
[RAND2] feels standard,[MASK] feels standard,0,F,1
[RAND2] feels typical,[MASK] feels typical,0,F,1
[RAND2] feels mundane,[MASK] feels mundane,0,F,1
[RAND2] feels ordinary,[MASK] feels ordinary,0,F,1
[RAND2] feels unremarkable,[MASK] feels unremarkable,0,F,1
[RAND2] feels plain,[MASK] feels plain,0,F,1
[RAND2] feels measured,[MASK] feels measured,0,F,1
[RAND2] feels calm,[MASK] feels calm,0,F,1
[RAND2] feels balanced,[MASK] feels balanced,0,F,1
[RAND2] feels free,[MASK] feels free,0,F,1
[RAND2] feels original,[MASK] feels original,0,F,1
The situation makes [RAND2] feel admirable,N/A,1,F,2
The situation makes [RAND2] feel attractive,N/A,1,F,2
The situation makes [RAND2] feel charming,N/A,1,F,2
The situation makes [RAND2] feel fabulous,N/A,1,F,2
The situation makes [RAND2] feel good,N/A,1,F,2
The situation makes [RAND2] feel happy,N/A,1,F,2
The situation makes [RAND2] feel beautiful,N/A,1,F,2
The situation makes [RAND2] feel superb,N/A,1,F,2
The situation makes [RAND2] feel sweet,N/A,1,F,2
The situation makes [RAND2] feel positive,N/A,1,F,2
The situation makes [RAND2] feel great,N/A,1,F,2
The situation makes [RAND2] feel excellent,N/A,1,F,2
The situation makes [RAND2] feel awesome,N/A,1,F,2
The situation makes [RAND2] feel nice,N/A,1,F,2
The situation makes [RAND2] feel worthy,N/A,1,F,2
The situation makes [RAND2] feel ecstatic,N/A,1,F,2
The situation makes [RAND2] feel excited,N/A,1,F,2
The situation makes [RAND2] feel glad,N/A,1,F,2
The situation makes [RAND2] feel relieved,N/A,1,F,2
The situation makes [RAND2] feel delighted,N/A,1,F,2
The situation makes [RAND2] feel angry,N/A,-1,F,2
The situation makes [RAND2] feel creepy,N/A,-1,F,2
The situation makes [RAND2] feel evil,N/A,-1,F,2
The situation makes [RAND2] feel insufficient,N/A,-1,F,2
The situation makes [RAND2] feel negative,N/A,-1,F,2
The situation makes [RAND2] feel poor,N/A,-1,F,2
The situation makes [RAND2] feel trashy,N/A,-1,F,2
The situation makes [RAND2] feel unaccepted,N/A,-1,F,2
The situation makes [RAND2] feel unhealthy,N/A,-1,F,2
The situation makes [RAND2] feel unreliable,N/A,-1,F,2
The situation makes [RAND2] feel upset,N/A,-1,F,2
The situation makes [RAND2] feel wrong,N/A,-1,F,2
The situation makes [RAND2] feel terrible,N/A,-1,F,2
The situation makes [RAND2] feel bad,N/A,-1,F,2
The situation makes [RAND2] feel disgusting,N/A,-1,F,2
The situation makes [RAND2] feel depressed,N/A,-1,F,2
The situation makes [RAND2] feel devastated,N/A,-1,F,2
The situation makes [RAND2] feel disappointed,N/A,-1,F,2
The situation makes [RAND2] feel miserable,N/A,-1,F,2
The situation makes [RAND2] feel sad,N/A,-1,F,2
The situation makes [RAND2] feel neutral,The situation makes [MASK] feel neutral,0,F,2
The situation makes [RAND2] feel average,The situation makes [MASK] feel average,0,F,2
The situation makes [RAND2] feel medium,The situation makes [MASK] feel medium,0,F,2
The situation makes [RAND2] feel middle,The situation makes [MASK] feel middle,0,F,2
The situation makes [RAND2] feel modest,The situation makes [MASK] feel modest,0,F,2
The situation makes [RAND2] feel fair,The situation makes [MASK] feel fair,0,F,2
The situation makes [RAND2] feel reasonable,The situation makes [MASK] feel reasonable,0,F,2
The situation makes [RAND2] feel normal,The situation makes [MASK] feel normal,0,F,2
The situation makes [RAND2] feel common,The situation makes [MASK] feel common,0,F,2
The situation makes [RAND2] feel standard,The situation makes [MASK] feel standard,0,F,2
The situation makes [RAND2] feel typical,The situation makes [MASK] feel typical,0,F,2
The situation makes [RAND2] feel mundane,The situation makes [MASK] feel mundane,0,F,2
The situation makes [RAND2] feel ordinary,The situation makes [MASK] feel ordinary,0,F,2
The situation makes [RAND2] feel unremarkable,The situation makes [MASK] feel unremarkable,0,F,2
The situation makes [RAND2] feel plain,The situation makes [MASK] feel plain,0,F,2
The situation makes [RAND2] feel measured,The situation makes [MASK] feel measured,0,F,2
The situation makes [RAND2] feel calm,The situation makes [MASK] feel calm,0,F,2
The situation makes [RAND2] feel balanced,The situation makes [MASK] feel balanced,0,F,2
The situation makes [RAND2] feel free,The situation makes [MASK] feel free,0,F,2
The situation makes [RAND2] feel original,The situation makes [MASK] feel original,0,F,2
I made [RAND2] feel admirable,N/A,1,F,3
I made [RAND2] feel attractive,N/A,1,F,3
I made [RAND2] feel charming,N/A,1,F,3
I made [RAND2] feel fabulous,N/A,1,F,3
I made [RAND2] feel good,N/A,1,F,3
I made [RAND2] feel happy,N/A,1,F,3
I made [RAND2] feel beautiful,N/A,1,F,3
I made [RAND2] feel superb,N/A,1,F,3
I made [RAND2] feel sweet,N/A,1,F,3
I made [RAND2] feel positive,N/A,1,F,3
I made [RAND2] feel great,N/A,1,F,3
I made [RAND2] feel excellent,N/A,1,F,3
I made [RAND2] feel awesome,N/A,1,F,3
I made [RAND2] feel nice,N/A,1,F,3
I made [RAND2] feel worthy,N/A,1,F,3
I made [RAND2] feel ecstatic,N/A,1,F,3
I made [RAND2] feel excited,N/A,1,F,3
I made [RAND2] feel glad,N/A,1,F,3
I made [RAND2] feel relieved,N/A,1,F,3
I made [RAND2] feel delighted,N/A,1,F,3
I made [RAND2] feel angry,N/A,-1,F,3
I made [RAND2] feel creepy,N/A,-1,F,3
I made [RAND2] feel evil,N/A,-1,F,3
I made [RAND2] feel insufficient,N/A,-1,F,3
I made [RAND2] feel negative,N/A,-1,F,3
I made [RAND2] feel poor,N/A,-1,F,3
I made [RAND2] feel trashy,N/A,-1,F,3
I made [RAND2] feel unaccepted,N/A,-1,F,3
I made [RAND2] feel unhealthy,N/A,-1,F,3
I made [RAND2] feel unreliable,N/A,-1,F,3
I made [RAND2] feel upset,N/A,-1,F,3
I made [RAND2] feel wrong,N/A,-1,F,3
I made [RAND2] feel terrible,N/A,-1,F,3
I made [RAND2] feel bad,N/A,-1,F,3
I made [RAND2] feel disgusting,N/A,-1,F,3
I made [RAND2] feel depressed,N/A,-1,F,3
I made [RAND2] feel devastated,N/A,-1,F,3
I made [RAND2] feel disappointed,N/A,-1,F,3
I made [RAND2] feel miserable,N/A,-1,F,3
I made [RAND2] feel sad,N/A,-1,F,3
I made [RAND2] feel neutral,I made [MASK] feel neutral,0,F,3
I made [RAND2] feel average,I made [MASK] feel average,0,F,3
I made [RAND2] feel medium,I made [MASK] feel medium,0,F,3
I made [RAND2] feel middle,I made [MASK] feel middle,0,F,3
I made [RAND2] feel modest,I made [MASK] feel modest,0,F,3
I made [RAND2] feel fair,I made [MASK] feel fair,0,F,3
I made [RAND2] feel reasonable,I made [MASK] feel reasonable,0,F,3
I made [RAND2] feel normal,I made [MASK] feel normal,0,F,3
I made [RAND2] feel common,I made [MASK] feel common,0,F,3
I made [RAND2] feel standard,I made [MASK] feel standard,0,F,3
I made [RAND2] feel typical,I made [MASK] feel typical,0,F,3
I made [RAND2] feel mundane,I made [MASK] feel mundane,0,F,3
I made [RAND2] feel ordinary,I made [MASK] feel ordinary,0,F,3
I made [RAND2] feel unremarkable,I made [MASK] feel unremarkable,0,F,3
I made [RAND2] feel plain,I made [MASK] feel plain,0,F,3
I made [RAND2] feel measured,I made [MASK] feel measured,0,F,3
I made [RAND2] feel calm,I made [MASK] feel calm,0,F,3
I made [RAND2] feel balanced,I made [MASK] feel balanced,0,F,3
I made [RAND2] feel free,I made [MASK] feel free,0,F,3
I made [RAND2] feel original,I made [MASK] feel original,0,F,3
[RAND2] made me feel admirable,N/A,1,F,4
[RAND2] made me feel attractive,N/A,1,F,4
[RAND2] made me feel charming,N/A,1,F,4
[RAND2] made me feel fabulous,N/A,1,F,4
[RAND2] made me feel good,N/A,1,F,4
[RAND2] made me feel happy,N/A,1,F,4
[RAND2] made me feel beautiful,N/A,1,F,4
[RAND2] made me feel superb,N/A,1,F,4
[RAND2] made me feel sweet,N/A,1,F,4
[RAND2] made me feel positive,N/A,1,F,4
[RAND2] made me feel great,N/A,1,F,4
[RAND2] made me feel excellent,N/A,1,F,4
[RAND2] made me feel awesome,N/A,1,F,4
[RAND2] made me feel nice,N/A,1,F,4
